0,Set,N_Samples,Noise,Accuracy,Training Time (seconds),Class
1,1,3,0.05,0.33,0.32,1
2,2,4,0.05,0.69,0.34,1
3,3,5,0.05,0.95,0.42,1
4,4,3,0.10,0.33,0.23,1
5,5,4,0.10,0.94,0.33,1
6,6,5,0.10,0.65,0.42,1
7,7,3,0.20,0.75,0.25,1
8,8,4,0.20,0.44,0.33,1
9,9,5,0.20,0.65,0.43,1
10,10,11,0.20,0.80,1.50,1
11,11,20,0.20,0.79,2.63,1
12,1,3,0.05,0.00,0.16,2
13,2,4,0.05,0.06,0.07,2
14,3,5,0.05,0.20,0.10,2
15,4,3,0.10,0.08,0.06,2
16,5,4,0.10,0.06,0.06,2
17,6,5,0.10,0.10,0.06,2
18,7,3,0.20,0.17,0.03,2
19,8,4,0.20,0.19,0.05,2
20,9,5,0.20,0.20,0.17,2
21,10,11,0.20,0.11,0.22,2
22,11,20,0.20,0.34,0.32,2
23,1,3,0.05,0.00,0.00,3
24,2,4,0.05,0.00,0.00,3
25,3,5,0.05,0.10,0.00,3
26,4,3,0.10,0.00,0.00,3
27,5,4,0.10,0.13,0.00,3
28,6,5,0.10,0.10,0.01,3
29,7,3,0.20,0.08,0.00,3
30,8,4,0.20,0.06,0.00,3
31,9,5,0.20,0.20,0.00,3
32,10,11,0.20,0.20,0.01,3
33,11,20,0.20,0.55,0.04,3
34,1,3,0.05,0.33,0.08,4
35,2,4,0.05,0.69,0.03,4
36,3,5,0.05,0.95,0.02,4
37,4,3,0.10,0.25,0.01,4
38,5,4,0.10,0.94,0.01,4
39,6,5,0.10,0.60,0.01,4
40,7,3,0.20,0.67,0.01,4
41,8,4,0.20,0.63,0.01,4
42,9,5,0.20,0.50,0.02,4
43,10,11,0.20,0.80,0.04,4
44,11,20,0.20,0.80,0.07,4
