0,SL,SW,PL,PW,Class
John,4.3,3,1.1,0.1,1
Daniel,4.8,3,1.4,0.1,1
3,4.9,3.1,1.5,0.1,1
4,4.9,3.1,1.5,0.1,1
5,4.9,3.1,1.5,0.1,1
6,5.2,4.1,1.5,0.1,1
7,4.6,3.6,1,0.2,1
8,5,3.2,1.2,0.2,1
9,5.8,4,1.2,0.2,1
10,4.4,3,1.3,0.2,1
11,4.4,3.2,1.3,0.2,1
12,4.7,3.2,1.3,0.2,1
13,5.5,3.5,1.3,0.2,1
14,4.4,2.9,1.4,0.2,1
15,4.9,3,1.4,0.2,1
16,4.6,3.2,1.4,0.2,1
17,5,3.3,1.4,0.2,1
18,5.2,3.4,1.4,0.2,1
19,5.1,3.5,1.4,0.2,1
20,5,3.6,1.4,0.2,1
21,5.5,4.2,1.4,0.2,1
22,4.6,3.1,1.5,0.2,1
23,5,3.4,1.5,0.2,1
24,5.1,3.4,1.5,0.2,1
25,5.2,3.5,1.5,0.2,1
26,5.3,3.7,1.5,0.2,1
27,5.4,3.7,1.5,0.2,1
28,5,3,1.6,0.2,1
29,4.8,3.1,1.6,0.2,1
30,4.7,3.2,1.6,0.2,1
31,4.8,3.4,1.6,0.2,1
32,5.1,3.8,1.6,0.2,1
33,5.4,3.4,1.7,0.2,1
34,4.8,3.4,1.9,0.2,1
35,4.5,2.3,1.3,0.3,1
36,5,3.5,1.3,0.3,1
37,4.8,3,1.4,0.3,1
38,4.6,3.4,1.4,0.3,1
39,5.1,3.5,1.4,0.3,1
40,5.1,3.8,1.5,0.3,1
41,5.7,3.8,1.7,0.3,1
42,5.4,3.9,1.3,0.4,1
43,5.4,3.4,1.5,0.4,1
44,5.1,3.7,1.5,0.4,1
45,5.7,4.4,1.5,0.4,1
46,5,3.4,1.6,0.4,1
47,5.4,3.9,1.7,0.4,1
48,5.1,3.8,1.9,0.4,1
49,5.1,3.3,1.7,0.5,1
50,5,3.5,1.6,0.6,1
51,5,2.3,3.3,1,2
52,4.9,2.4,3.3,1,2
53,5,2,3.5,1,2
54,5.7,2.6,3.5,1,2
55,5.5,2.4,3.7,1,2
56,6,2.2,4,1,2
57,5.8,2.7,4.1,1,2
58,5.1,2.5,3,1.1,2
59,5.5,2.4,3.8,1.1,2
60,5.6,2.5,3.9,1.1,2
61,5.8,2.7,3.9,1.2,2
62,5.8,2.6,4,1.2,2
63,5.7,3,4.2,1.2,2
64,5.5,2.6,4.4,1.2,2
65,6.1,2.8,4.7,1.2,2
66,5.6,2.9,3.6,1.3,2
67,5.5,2.3,4,1.3,2
68,5.5,2.5,4,1.3,2
69,6.1,2.8,4,1.3,2
70,5.7,2.8,4.1,1.3,2
71,5.6,3,4.1,1.3,2
72,5.6,2.7,4.2,1.3,2
73,5.7,2.9,4.2,1.3,2
74,6.2,2.9,4.3,1.3,2
75,6.4,2.9,4.3,1.3,2
76,6.3,2.3,4.4,1.3,2
77,5.7,2.8,4.5,1.3,2
78,6.6,2.9,4.6,1.3,2
79,5.2,2.7,3.9,1.4,2
80,6.6,3,4.4,1.4,2
81,6.7,3.1,4.4,1.4,2
82,6.1,3,4.6,1.4,2
83,6.1,2.9,4.7,1.4,2
84,7,3.2,4.7,1.4,2
85,6.8,2.8,4.8,1.4,2
86,5.9,3,4.2,1.5,2
87,6.2,2.2,4.5,1.5,2
88,6,2.9,4.5,1.5,2
89,5.4,3,4.5,1.5,2
90,5.6,3,4.5,1.5,2
91,6.4,3.2,4.5,1.5,2
92,6.5,2.8,4.6,1.5,2
93,6.7,3.1,4.7,1.5,2
94,6.3,2.5,4.9,1.5,2
95,6.9,3.1,4.9,1.5,2
96,6,3.4,4.5,1.6,2
97,6.3,3.3,4.7,1.6,2
98,6,2.7,5.1,1.6,2
99,6.7,3,5,1.7,2
100,5.9,3.2,4.8,1.8,2
101,6.1,2.6,5.6,1.4,3
102,6,2.2,5,1.5,3
103,6.3,2.8,5.1,1.5,3
104,7.2,3,5.8,1.6,3
105,4.9,2.5,4.5,1.7,3
106,6.2,2.8,4.8,1.8,3
107,6,3,4.8,1.8,3
108,6.3,2.7,4.9,1.8,3
109,6.1,3,4.9,1.8,3
110,5.9,3,5.1,1.8,3
111,6.5,3,5.5,1.8,3
112,6.4,3.1,5.5,1.8,3
113,6.3,2.9,5.6,1.8,3
114,6.7,2.5,5.8,1.8,3
115,7.2,3.2,6,1.8,3
116,7.3,2.9,6.3,1.8,3
117,6.3,2.5,5,1.9,3
118,5.8,2.7,5.1,1.9,3
119,5.8,2.7,5.1,1.9,3
120,6.4,2.7,5.3,1.9,3
121,7.4,2.8,6.1,1.9,3
122,5.6,2.8,4.9,2,3
123,5.7,2.5,5,2,3
124,6.5,3.2,5.1,2,3
125,6.5,3,5.2,2,3
126,7.9,3.8,6.4,2,3
127,7.7,2.8,6.7,2,3
128,6.9,3.1,5.4,2.1,3
129,6.8,3,5.5,2.1,3
130,6.4,2.8,5.6,2.1,3
131,6.7,3.3,5.7,2.1,3
132,7.1,3,5.9,2.1,3
133,7.6,3,6.6,2.1,3
134,6.4,2.8,5.6,2.2,3
135,6.5,3,5.8,2.2,3
136,7.7,3.8,6.7,2.2,3
137,6.9,3.1,5.1,2.3,3
138,6.7,3,5.2,2.3,3
139,6.4,3.2,5.3,2.3,3
140,6.2,3.4,5.4,2.3,3
141,6.9,3.2,5.7,2.3,3
142,6.8,3.2,5.9,2.3,3
143,7.7,3,6.1,2.3,3
144,7.7,2.6,6.9,2.3,3
145,5.8,2.8,5.1,2.4,3
146,6.7,3.1,5.6,2.4,3
147,6.3,3.4,5.6,2.4,3
148,6.7,3.3,5.7,2.5,3
149,6.3,3.3,6,2.5,3
150,7.2,3.6,6.1,2.5,3
